Data,P/BV ratios,,,,,,,,,,
Period,Monthly since Apr-1988 to present,,,,,,,,,,
Unit,Times,,,,,,,,,,
Month-Year,SET,SET50,SET50FF,SET100,SET100FF,sSET,SETCLMV,SETHD,SETESG,SETWB,mai
ก.ค.-98,0.74,0.91,,,,,,,,,
มิ.ย.-98,0.74,0.8,,,,,,,,,
พ.ค.-98,0.9,1.03,,,,,,,,,
เม.ย.-98,1.17,1.41,,,,,,,,,
มี.ค.-98,1.2,1.4,,,,,,,,,
ก.พ.-98,1.27,1.53,,,,,,,,,
ม.ค.-98,1.22,1.58,,,,,,,,,
ธ.ค.-97,0.89,0.99,,,,,,,,,
พ.ย.-97,0.89,1.02,,,,,,,,,
ต.ค.-97,0.91,1.08,,,,,,,,,
ก.ย.-97,1.1,1.37,,,,,,,,,
ส.ค.-97,0.99,1.18,,,,,,,,,
ก.ค.-97,1.31,1.66,,,,,,,,,
มิ.ย.-97,1.04,1.19,,,,,,,,,
พ.ค.-97,1.11,1.28,,,,,,,,,
เม.ย.-97,1.28,1.48,,,,,,,,,
มี.ค.-97,1.32,1.58,,,,,,,,,
ก.พ.-97,1.37,1.64,,,,,,,,,
ม.ค.-97,1.5,1.81,,,,,,,,,
ธ.ค.-96,1.58,1.74,,,,,,,,,
พ.ย.-96,1.76,2.01,,,,,,,,,
ต.ค.-96,1.81,2.07,,,,,,,,,
ก.ย.-96,2.17,2.55,,,,,,,,,
ส.ค.-96,2.18,2.54,,,,,,,,,
ก.ค.-96,2.14,2.47,,,,,,,,,
มิ.ย.-96,2.46,2.93,,,,,,,,,
พ.ค.-96,2.59,,,,,,,,,,
เม.ย.-96,2.64,,,,,,,,,,
มี.ค.-96,2.63,,,,,,,,,,
ก.พ.-96,2.78,,,,,,,,,,
ม.ค.-96,3.01,,,,,,,,,,
ธ.ค.-95,2.75,,,,,,,,,,
พ.ย.-95,2.58,,,,,,,,,,
ต.ค.-95,2.84,,,,,,,,,,
ก.ย.-95,2.89,,,,,,,,,,
ส.ค.-95,2.93,,,,,,,,,,
ก.ค.-95,3.17,,,,,,,,,,
มิ.ย.-95,3.2,,,,,,,,,,
พ.ค.-95,3.21,,,,,,,,,,
เม.ย.-95,2.89,,,,,,,,,,
มี.ค.-95,2.92,,,,,,,,,,
ก.พ.-95,3.25,,,,,,,,,,
ม.ค.-95,3.1,,,,,,,,,,
ธ.ค.-94,3.46,,,,,,,,,,
พ.ย.-94,3.44,,,,,,,,,,
ต.ค.-94,4.06,,,,,,,,,,
ก.ย.-94,3.95,,,,,,,,,,
ส.ค.-94,4.05,,,,,,,,,,
ก.ค.-94,3.8,,,,,,,,,,
มิ.ย.-94,3.48,,,,,,,,,,
พ.ค.-94,3.72,,,,,,,,,,
เม.ย.-94,3.54,,,,,,,,,,
มี.ค.-94,3.45,,,,,,,,,,
ก.พ.-94,3.73,,,,,,,,,,
ม.ค.-94,4.36,,,,,,,,,,
ธ.ค.-93,4.31,,,,,,,,,,
พ.ย.-93,3.5,,,,,,,,,,
ต.ค.-93,3.61,,,,,,,,,,
ก.ย.-93,2.91,,,,,,,,,,
ส.ค.-93,2.92,,,,,,,,,,
ก.ค.-93,2.77,,,,,,,,,,
มิ.ย.-93,2.68,,,,,,,,,,
พ.ค.-93,2.58,,,,,,,,,,
เม.ย.-93,2.69,,,,,,,,,,
มี.ค.-93,2.81,,,,,,,,,,
ก.พ.-93,3,,,,,,,,,,
ม.ค.-93,3.17,,,,,,,,,,
ธ.ค.-92,3.05,,,,,,,,,,
พ.ย.-92,3,,,,,,,,,,
ต.ค.-92,3.33,,,,,,,,,,
ก.ย.-92,3.17,,,,,,,,,,
ส.ค.-92,2.81,,,,,,,,,,
ก.ค.-92,2.77,,,,,,,,,,
มิ.ย.-92,2.67,,,,,,,,,,
พ.ค.-92,2.48,,,,,,,,,,
เม.ย.-92,2.87,,,,,,,,,,
มี.ค.-92,3.04,,,,,,,,,,
ก.พ.-92,2.83,,,,,,,,,,
ม.ค.-92,2.93,,,,,,,,,,
ธ.ค.-91,2.82,,,,,,,,,,
พ.ย.-91,2.71,,,,,,,,,,
ต.ค.-91,2.69,,,,,,,,,,
ก.ย.-91,2.79,,,,,,,,,,
ส.ค.-91,2.98,,,,,,,,,,
ก.ค.-91,3.14,,,,,,,,,,
มิ.ย.-91,3.53,,,,,,,,,,
พ.ค.-91,3.72,,,,,,,,,,
เม.ย.-91,4.13,,,,,,,,,,
มี.ค.-91,4.2,,,,,,,,,,
ก.พ.-91,3.79,,,,,,,,,,
ม.ค.-91,3.33,,,,,,,,,,
ธ.ค.-90,3.2,,,,,,,,,,
พ.ย.-90,3.13,,,,,,,,,,
ต.ค.-90,3.79,,,,,,,,,,
ก.ย.-90,3.88,,,,,,,,,,
ส.ค.-90,5.03,,,,,,,,,,
ก.ค.-90,7.32,,,,,,,,,,
มิ.ย.-90,7.21,,,,,,,,,,
พ.ค.-90,7.11,,,,,,,,,,
เม.ย.-90,6.36,,,,,,,,,,
มี.ค.-90,6.19,,,,,,,,,,
ก.พ.-90,6.4,,,,,,,,,,
